iter	Passed	Remaining
0	2	208
1	4	202
2	5	193
3	7	177
4	9	180
5	13	214
6	16	213
7	17	205
8	20	206
9	24	216
10	28	233
11	30	225
12	32	217
13	34	212
14	36	208
15	38	203
16	42	206
17	47	214
18	49	211
19	52	211
20	55	207
21	58	206
22	60	201
23	61	196
24	63	191
25	65	187
26	67	183
27	74	191
28	78	192
29	81	189
30	85	189
31	94	201
32	96	195
33	98	190
34	99	185
35	101	180
36	105	180
37	107	176
38	110	172
39	112	168
40	113	163
41	114	158
42	116	154
43	122	155
44	124	151
45	126	147
46	128	144
47	129	140
48	137	142
49	139	139
50	141	136
51	143	132
52	145	129
53	150	128
54	151	124
55	153	120
56	154	116
57	156	113
58	158	110
59	160	106
60	162	103
61	165	101
62	167	98
63	169	95
64	171	92
65	173	89
66	174	86
67	176	83
68	182	82
69	185	79
70	186	76
71	188	73
72	190	70
73	191	67
74	197	65
75	199	63
76	201	60
77	203	57
78	205	54
79	208	52
80	213	50
81	215	47
82	218	44
83	220	42
84	222	39
85	227	37
86	230	34
87	232	31
88	233	28
89	235	26
90	237	23
91	240	20
92	244	18
93	246	15
94	248	13
95	250	10
96	252	7
97	261	5
98	265	2
99	274	0
